  																																								P	/rva111..aj111~a111..aj111~						Puts file in format to print
		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!										#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!								/ma111..ak200~a115~					C	{GOTO}a1~/fcceinsert1~
		WELL DATA SUMMARY																																							/ca11..aj12~a112~						{GOTO}r11~/fcceinsert3~
		 																																							/rva59..aj59~a59..aj59~						/wgc6~
	Well	33B-19																																							/ma59..ak200~a63~						/rff0~a13..aj200~
	 	 	 	 																																					/ca11..aj12~a60~						/rff~c13..c200~
	Sec Azim	 	 																																						/ppr~gp{esc}{esc}{esc}						{GOTO}C3~WELL DATA SUMMARY~
	Elev	4140	KB																																												{GOTO}Q1~/WCS9~/WCHAH1~
 	Coords:	North	247827				2351874																																								/PPOMR240~QQ
 					Course		 																																								{GOTO}A1~/wcs9~
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM																															{GOTO}D1~/wcs8~
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________																															{GOTO}H1~/wcs9~
 				 																																											{GOTO}P1~/wcs8~
 	3211	7.50	348	348	61	8	3206	934	8	-1	108	50	8	108	247935	2351924																															/wchi1~
BHT 173	3241	8.00	347	347	30	4	3236	904	4	-1	112	49	4	112	247939	2351923																															/wchi1~
BHT 170	3330	9.25	342	342	88	13	3324	816	13	-4	125	45	13	125	247952	2351919																															/wchi1~
	3410	10.57	343	343	79	14	3402	738	13	-4	138	41	13	138	247965	2351915																															
BHT 144	3451	11.25	343	343	119	22	3443	697	21	-6	145	39	21	145	247972	2351913																															/wchi1~
BHT 144	3544	12.75	345	345	91	19	3534	606	19	-5	164	33	19	164	247991	2351907																															/wchi1~
BHT 140	3639	14.75	342	342	92	23	3626	514	22	-6	186	27	22	186	248013	2351901																															/wchi1~
BHT 144	3733	17.50	343	343	90	26	3716	424	25	-8	210	19	25	210	248037	2351893																															/wchi1~
BHT 140	3844	20.00	345	345	105	36	3821	319	34	-10	245	9	34	245	248072	2351883																															/wchi1~
BHT 138	3909	19.75	351	351	61	22	3882	258	22	-5	266	5	22	266	248093	2351879																															/wchi1~
	3940	19.50	352	352	29	10	3912	228	10	-2	277	3	10	277	248104	2351877																															
BHT 140	3971	19.25	353	353	58	21	3941	199	20	-3	287	2	20	287	248114	2351876																															/wchi1~
BHT 140	4046	20.75	354	354	70	26	4011	129	25	-3	312	-1	25	312	248139	2351873																															/wchi1~
BHT 142	4106	20.75	354	354	56	21	4067	73	21	-2	333	-3	21	333	248160	2351871																															/wchi1~
BHT 142	4167	21.25	354	354	57	22	4124	16	22	-2	355	-6	22	355	248182	2351868																															/wchi1~
	4184	21.45	354	354	16	6	4140	0	6	-1	361	-6	6	361	248188	2351868																															
BHT 142	4231	22.00	354	354	59	24	4184	-44	23	-2	379	-8	23	379	248206	2351866																															/wchi1~
BHT 142	4324	23.00	354	354	86	36	4270	-130	35	-4	414	-12	35	414	248241	2351862																															/wchi1~
BHT 157	4418	23.50	354	354	86	37	4356	-216	37	-4	451	-16	37	451	248278	2351858																															/wchi1~
	4450	23.34	355	355	29	13	4386	-246	13	-1	464	-17	13	464	248291	2351857																															
 	4468	23.25	356	356	46	20	4402	-262	20	-2	471	-17	20	471	248298	2351857																															/wchi1~
BHT 148	4563	21.00	3	3	88	-36	4490	-350	36	0	506	-18	36	506	248333	2351856																															/wchi1~
BHT 153	4621	21.00	3	3	54	21	4544	-404	21	1	527	-17	21	527	248354	2351857																															/wchi1~
BHT 156	4718	21.00	5	5	91	35	4635	-495	35	2	562	-14	35	562	248389	2351860																															/wchi1~
BHT 156	4811	21.00	4	4	87	33	4722	-582	33	3	595	-12	33	595	248422	2351862																															/wchi1~
 	4905	21.00	5	5	88	34	4809	-669	34	3	629	-9	34	629	248456	2351865																															/wchi1~
	4940	21.00	6	6	33	13	4842	-702	12	1	641	-8	12	641	248468	2351866																															
BHT 164	4999	21.00	7	7	88	34	4897	-757	34	4	662	-5	34	662	248489	2351869																															/wchi1~
BHT 164	5090	21.25	7	7	85	33	4982	-842	33	4	695	-1	33	695	248522	2351873																															/wchi1~
 	5185	21.25	8	8	89	34	5071	-931	34	4	729	3	34	729	248556	2351877																															/wchi1~
	5210	21.25	8	8	23	9	5094	-954	9	1	738	4	9	738	248565	2351878																															
	5260	21.25	9	9	70	27	5140	-1000	27	4	756	7	27	756	248583	2351881																															
BHT 176	5289	21.25	10	10	97	38	5167	-1027	37	6	766	9	37	766	248593	2351883																															/wchi1~
BHT 176	5372	21.25	9	9	77	30	5245	-1105	30	5	796	14	30	796	248623	2351888																															/wchi1~
MPT	5429	21.10	10	10	53	21	5298	-1158	20	3	816	17	20	816	248643	2351891																															
 	5466	21.00	10	10	88	34	5333	-1193	33	6	829	20	33	829	248656	2351894																															/wchi1~
BHT 182	5563	21.00	11	11	91	35	5423	-1283	34	6	863	26	34	863	248690	2351900																															/wchi1~
BHT 183	5658	21.00	9	9	89	34	5512	-1372	34	6	897	32	34	897	248724	2351906																															/wchi1~
-50 BPH	5700	21.11	9	9	39	15	5551	-1411	15	2	912	34	15	912	248739	2351908																															
	5720	21.16	9	9	19	7	5570	-1430	7	1	919	35	7	919	248746	2351909																															
BHT 178	5753	21.25	9	9	89	34	5600	-1460	34	5	931	37	34	931	248758	2351911																															/wchi1~
BHT 182	5848	21.00	10	10	89	34	5689	-1549	34	6	965	43	34	965	248792	2351917																															/wchi1~
BHT 188	5944	21.25	9	9	90	35	5779	-1639	34	6	999	49	34	999	248826	2351923																															/wchi1~
	5980	21.16	10	10	34	13	5812	-1672	13	2	1011	51	13	1011	248838	2351925																															
BHT 191	6041	21.00	12	12	90	35	5869	-1729	34	6	1033	55	34	1033	248860	2351929																															/wchi1~
BHT 191	6099	21.00	11	11	54	21	5923	-1783	20	4	1053	59	20	1053	248880	2351933																															/wchi1~
BHT 190	6204	20.75	10	10	98	37	6021	-1881	37	7	1090	66	37	1090	248917	2351940																															/wchi1~
	6250	20.51	10	10	43	16	6064	-1924	16	3	1106	69	16	1106	248933	2351943																															
-200 BPH	6261	20.45	10	10	53	20	6075	-1935	20	3	1110	69	20	1110	248937	2351943																															
BHT 218	6298	20.25	10	10	88	33	6109	-1969	32	6	1123	72	32	1123	248950	2351946																															/wchi1~
	6331	20.07	11	11	31	11	6140	-2000	11	2	1134	74	11	1134	248961	2351948																															
BHT 219	6391	19.75	12	12	87	32	6197	-2057	31	6	1154	78	31	1154	248981	2351952																															/wchi1~
-20 BPH	6460	19.58	12	12	65	23	6262	-2122	23	5	1177	83	23	1177	249004	2351957																															
-30 BPH	6520	19.44	13	13	57	20	6318	-2178	20	4	1196	87	20	1196	249023	2351961																															
 	6808	18.75	15	15	394	137	6590	-2450	134	32	1287	110	134	1287	249114	2351984																															/wchi1~
-70 BPH	6810	18.74	15	15	2	1	6592	-2452	1	0	1288	110	1	1288	249115	2351984																															
	6850	18.48	15	15	38	13	6630	-2490	12	3	1300	113	12	1300	249127	2351987																															
-60 BPH	6900	18.16	15	15	85	28	6678	-2538	28	7	1316	117	28	1316	249143	2351991																															
BHT 242	6925	18.00	15	15	111	37	6701	-2561	36	10	1323	119	36	1323	249150	2351993																															/wchi1~
BHT 245	7042	18.00	16	16	111	36	6813	-2673	35	10	1358	129	35	1358	249185	2352003																															/wchi1~
-55 BPH	7050	17.97	16	16	8	2	6820	-2680	2	1	1360	130	2	1360	249187	2352004																															
	7130	17.69	16	16	76	24	6896	-2756	24	7	1384	136	24	1384	249211	2352010																															
-60 BPH	7140	17.65	16	16	86	28	6906	-2766	26	8	1387	137	26	1387	249214	2352011																															
BHT 255	7182	17.50	16	16	133	43	6946	-2806	41	12	1399	141	41	1399	249226	2352015																															/wchi1~
 	7261	16.25	13	13	76	23	7022	-2882	22	6	1421	146	22	1421	249248	2352020																															/wchi1~
 	7316	16.00	10	10	53	15	7074	-2934	15	3	1436	150	15	1436	249263	2352024																															/wchi1~
 	7380	15.00	17	17	62	17	7136	-2996	17	4	1453	154	17	1453	249280	2352028																															/wchi1~
	7384	14.96	17	17	4	1	7140	-3000	1	0	1454	154	1	1454	249281	2352028																															
	7420	14.58	18	18	35	9	7175	-3035	9	3	1463	157	9	1463	249290	2352031																															
BHT 270	7476	14.00	20	20	93	24	7229	-3089	23	8	1476	161	23	1476	249303	2352035																															/wchi1~
BHT 275	7570	12.50	22	22	91	22	7321	-3181	20	8	1496	169	20	1496	249323	2352043																															/wchi1~
BHT 260	7672	12.25	22	22	100	22	7420	-3280	20	8	1516	177	20	1516	249343	2352051																															/wchi1~
BHT 261	7736	11.25	23	23	63	13	7483	-3343	12	5	1528	182	12	1528	249355	2352056																															/wchi1~
BHT 261	7829	10.25	10	10	91	17	7574	-3434	17	5	1545	187	17	1545	249372	2352061																															/wchi1~
-100 BPH	7860	10.16	5	5	31	5	7605	-3465	5	1	1550	188	5	1550	249377	2352062																															
	7880	10.11	125	125	20	4	7624	-3484	1	3	1552	191	1	1552	249379	2352065																															
BHT 242	7919	10.00	360	360	89	-16	7663	-3523	16	1	1560	188	16	1560	249387	2352062																															
LC	7957	10.00	156	359	37	7	7700	-3560	7	0	1567	188	7	1567	249394	2352062																															
BHT 275	7986	10.00	1	359	66	12	7729	-3589	12	0	1572	188	12	1572	249399	2352062																															
BHT 276	8050	8.00	2	358	63	10	7792	-3652	10	0	1582	188	10	1582	249409	2352062																															
BHT 272	8114	7.50	8	352	63	9	7855	-3715	9	-1	1591	187	9	1591	249418	2352061																															
BHT 282	8178	7.50	14	346	63	8	7919	-3779	8	-2	1599	186	8	1599	249426	2352060																															
BHT 274	8274	6.75	342	342	95	12	8014	-3874	11	-3	1610	182	11	1610	249437	2352056																															
	8300	6.75	338	338	26	3	8040	-3900	3	-1	1613	181	3	1613	249440	2352055																															
BHT 308	8369	6.75	327	327	94	11	8109	-3969	10	-5	1620	178	10	1620	249447	2352052																															
	8401	6.50	329	329	32	4	8140	-4000	3	-2	1623	176	3	1623	249450	2352050																															
BHT 296	8465	6.00	332	332	95	11	8204	-4064	9	-5	1630	172	9	1630	249457	2352046																															
BHT 294	8590	5.75	21	339	124	13	8328	-4188	12	-5	1641	167	12	1641	249468	2352041																															
	8640	5.36	143	337	50	5	8378	-4238	4	-2	1646	165	4	1646	249473	2352039
BHT 308	8718	4.75	333	333	127	12	8456	-4316	11	-5	1652	162	11	1652	249479	2352036
BHT 306	8821	4.25	320	320	103	8	8558	-4418	7	-4	1659	158	7	1659	249486	2352032
	8840	4.25	320	320	19	1	8577	-4437	1	-1	1660	157	1	1660	249487	2352031
TD	8846	4.25	320	320	25	2	8583	-4443	1	-1	1660	156	1	1660	249487	2352030
