Point,NORTHING,EASTING,Elev_ft,Elev_m
1,247393,2354577,4151,1265
2,247394,2354577,4000,1219
3,247394,2354577,3995,1218
4,247396,2354578,3867,1179
5,247398,2354580,3716,1133
6,247398,2354582,3651,1113
7,247400,2354585,3523,1074
8,247401,2354589,3392,1034
9,247402,2354593,3271,997
10,247402,2354599,3151,960
11,247402,2354600,3141,957
12,247401,2354607,3000,914
13,247401,2354608,2988,911
14,247400,2354615,2856,871
15,247400,2354623,2734,833
16,247399,2354628,2652,808
17,247399,2354631,2608,795
18,247399,2354640,2477,755
19,247399,2354648,2357,718
20,247399,2354656,2229,679
21,247399,2354662,2153,656
22,247399,2354665,2102,641
23,247400,2354671,2000,610
24,247400,2354673,1971,601
25,247400,2354679,1848,563
26,247399,2354686,1726,526
27,247399,2354690,1654,504
28,247399,2354692,1637,499
29,247399,2354700,1542,470
30,247398,2354710,1441,439
31,247398,2354718,1381,421
32,247397,2354728,1311,400
33,247396,2354733,1280,390
34,247395,2354738,1249,381
35,247393,2354742,1218,371
36,247391,2354746,1186,361
37,247389,2354751,1158,353
38,247385,2354756,1124,343
39,247380,2354762,1085,331
40,247370,2354775,1000,305
41,247369,2354776,992,302
42,247358,2354791,899,274
43,247344,2354805,805,245
44,247334,2354816,724,221
45,247330,2354821,692,211
46,247328,2354824,668,204
47,247327,2354825,662,202
48,247324,2354830,630,192
49,247321,2354835,599,183
50,247319,2354840,567,173
51,247317,2354845,536,163
52,247312,2354864,411,125
53,247308,2354880,317,97
54,247303,2354897,223,68
55,247301,2354907,175,53
56,247298,2354918,127,39
57,247292,2354938,35,11
58,247290,2354946,0,0
59,247289,2354952,-26,-8
60,247284,2354972,-120,-37
61,247279,2354991,-212,-65
62,247275,2355011,-305,-93
63,247275,2355013,-313,-95
64,247272,2355031,-397,-121
65,247270,2355045,-463,-141
66,247267,2355062,-553,-169
67,247261,2355087,-683,-208
68,247258,2355099,-741,-226
69,247254,2355111,-802,-244
70,247252,2355119,-842,-257
71,247248,2355135,-930,-283
72,247244,2355148,-1000,-305
73,247242,2355153,-1029,-314
74,247238,2355170,-1120,-341
75,247233,2355186,-1207,-368
76,247228,2355200,-1294,-394
77,247227,2355202,-1308,-399
78,247220,2355217,-1400,-427
79,247215,2355230,-1485,-453
80,247211,2355239,-1547,-472
81,247208,2355245,-1591,-485
82,247205,2355251,-1633,-498
83,247202,2355257,-1675,-511
84,247200,2355261,-1696,-517
85,247198,2355266,-1729,-527
86,247192,2355277,-1786,-544
87,247192,2355278,-1790,-546
88,247189,2355283,-1816,-554
89,247170,2355320,-2000,-610
90,247152,2355357,-2183,-665
91,247142,2355376,-2274,-693
92,247104,2355451,-2646,-807
