Point,Easting,Northing,Longitude,Latitude,Elev_m,
91,427240.69,3984996.19,-117.80735228,36.00672917,-930.2
92,427244.85,3985005.55,-117.80730703,36.00681387,-968.0
93,427249.00,3985014.61,-117.80726182,36.00689583,-1005.5
94,427253.46,3985023.96,-117.80721319,36.00698050,-1044.2
95,427257.90,3985032.41,-117.80716469,36.00705693,-1081.1
96,427260.12,3985036.63,-117.80714044,36.00709515,-1099.7
97,427261.07,3985038.43,-117.80713005,36.00711153,-1108.9
98,427263.60,3985042.65,-117.80710241,36.00714971,-1127.8
99,427265.81,3985046.57,-117.80707820,36.00718518,-1146.0
100,427267.08,3985048.98,-117.80706434,36.00720702,-1156.4
101,427270.55,3985054.70,-117.80702636,36.00725883,-1184.8
102,427272.45,3985058.31,-117.80700557,36.00729159,-1203.7
103,427274.35,3985061.63,-117.80698483,36.00732160,-1219.2
104,427274.67,3985062.23,-117.80698136,36.00732706,-1222.6
105,427277.51,3985067.05,-117.80695027,36.00737070,-1247.2
106,427280.67,3985072.47,-117.80691570,36.00741980,-1275.6
107,427284.13,3985077.58,-117.80687780,36.00746612,-1303.9
108,427287.59,3985082.99,-117.80683986,36.00751518,-1332.6
109,427290.75,3985088.11,-117.80680534,36.00756154,-1361.2
110,427295.80,3985096.54,-117.80675007,36.00763790,-1409.4
111,427297.69,3985099.54,-117.80672937,36.00766516,-1428.0
112,427301.18,3985106.18,-117.80669126,36.00772522,-1466.1
113,427304.97,3985112.80,-117.80664977,36.00778523,-1504.5
114,427306.56,3985116.12,-117.80663240,36.00781528,-1524.0
115,427307.50,3985117.32,-117.80662209,36.00782616,-1532.8
116,427309.09,3985120.34,-117.80660477,36.00785346,-1550.8
117,427311.63,3985125.46,-117.80657701,36.00789988,-1583.4
118,427312.27,3985126.67,-117.80657008,36.00791080,-1588.9
119,427315.75,3985133.00,-117.80653201,36.00796811,-1627.9
120,427318.92,3985139.03,-117.80649737,36.00802270,-1665.1
121,427320.50,3985141.74,-117.80648009,36.00804725,-1683.1
122,427321.79,3985145.06,-117.80646610,36.00807733,-1702.6
123,427323.39,3985148.69,-117.80644869,36.00811012,-1721.5
124,427324.69,3985152.32,-117.80643467,36.00814294,-1738.0
125,427326.61,3985156.85,-117.80641375,36.00818394,-1756.9
126,427328.54,3985161.69,-117.80639280,36.00822768,-1776.1
127,427333.99,3985174.98,-117.80633348,36.00834796,-1822.7
128,427334.64,3985176.80,-117.80632646,36.00836437,-1828.8
129,427336.59,3985182.55,-117.80630538,36.00841636,-1848.6
130,427340.79,3985194.04,-117.80625984,36.00852029,-1887.9
131,427344.37,3985204.94,-117.80622114,36.00861880,-1925.1
132,427347.95,3985216.14,-117.80618239,36.00872005,-1962.3
133,427352.16,3985228.25,-117.80613677,36.00882948,-2001.0
134,427355.73,3985238.84,-117.80609811,36.00892524,-2036.1
135,427360.23,3985249.72,-117.80604927,36.00902364,-2074.8
136,427364.08,3985259.39,-117.80600735,36.00911113,-2112.3
137,427365.71,3985264.54,-117.80598973,36.00915766,-2131.8
138,427365.72,3985264.84,-117.80598969,36.00916040,-2133.6
139,427369.26,3985273.91,-117.80595124,36.00924243,-2168.7
140,427373.14,3985284.50,-117.80590921,36.00933816,-2206.4
141,427377.61,3985294.46,-117.80586049,36.00942832,-2242.1
142,427381.78,3985304.43,-117.80581515,36.00951852,-2278.7
143,427385.96,3985315.01,-117.80576973,36.00961421,-2316.8
144,427399.81,3985350.99,-117.80561936,36.00993961,-2438.4
145,427401.09,3985354.01,-117.80560542,36.00996694,-2448.8
146,427410.12,3985377.90,-117.80550743,36.01018298,-2525.6
147,427418.16,3985398.46,-117.80542006,36.01036890,-2590.2
