  																
		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
		WELL DATA SUMMARY														
		 														
	Well	NAVY II 63B-18 Deepening														
	 	 	 	 												
	Sec Azim	0	NORTH													
	Elev	4122	KB													
 	Coords:	North	253521	East			2353476									
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________
 																
	4308	10	13	347	93	15	4275	-153	14	-2	416	-88	14	416	253937	2353388
	4381	10	17	343	72	12	4347	-225	12	-3	428	-91	12	428	253949	2353385
	4430	10	13	347	48	8	4395	-273	8	-2	436	-94	8	436	253957	2353382
	4500	10	15	345	69	12	4464	-342	11	-3	447	-96	11	447	253968	2353380
	4553	10	16	344	121	20	4517	-395	20	-5	455	-99	20	455	253976	2353377
	4615	10	15	345	61	10	4578	-456	10	-3	465	-101	10	465	253986	2353375
	4711	10	16	344	95	16	4672	-550	16	-4	481	-106	16	481	254002	2353370
	4804	9	17	343	92	15	4764	-642	14	-4	495	-110	14	495	254016	2353366
	4898	9	17	343	93	15	4857	-735	14	-4	510	-114	14	510	254031	2353362
	5000	9	19	341	101	16	4958	-836	15	-5	525	-119	15	525	254046	2353357
	5054	9	20	340	154	24	5011	-889	23	-8	532	-122	23	532	254053	2353354
	5117	9	20	340	62	10	5073	-951	9	-3	542	-125	9	542	254063	2353351
	5166	9	20	340	48	8	5122	-1000	7	-3	549	-128	7	549	254070	2353348
	5241	9	20	340	122	20	5196	-1074	18	-7	560	-132	18	560	254081	2353344
	5366	9	19	341	123	20	5319	-1197	18	-7	578	-139	18	578	254099	2353337
	5458	9	24	336	91	14	5410	-1288	13	-5	591	-144	13	591	254112	2353332
	5500	9	23	337	42	6	5452	-1330	6	-3	597	-146	6	597	254118	2353330
	5595	8	20	340	136	20	5546	-1424	19	-7	610	-151	19	610	254131	2353325
	5719	8	23	337	123	17	5669	-1547	16	-6	626	-158	16	626	254147	2353318
	5814	8	20	340	94	13	5763	-1641	12	-5	638	-162	12	638	254159	2353314
	5967	8	32	328	152	21	5914	-1792	19	-9	657	-172	19	657	254178	2353304
	6000	8	33	327	33	4	5947	-1825	4	-2	661	-174	4	661	254182	2353302
-90 bbls	6063	7	36	324	95	12	6009	-1887	10	-7	667	-179	10	667	254188	2353297
 	6092	7	37	323	124	16	6038	-1916	13	-9	670	-181	13	670	254191	2353295
	6176	8	36	324	83	11	6122	-2000	9	-6	679	-187	9	679	254200	2353289
	6186	8	36	324	93	12	6131	-2009	10	-7	680	-188	10	680	254201	2353288
MPT	6319	8	36	324	132	18	6263	-2141	15	-11	695	-198	15	695	254216	2353278
	6341	8	36	324	154	21	6285	-2163	17	-12	697	-200	17	697	254218	2353276
	6500	8	40	320	158	21	6443	-2321	17	-13	714	-213	17	714	254235	2353263
LC	6575	8	42	318	232	32	6517	-2395	25	-20	722	-220	25	722	254243	2353256
 	6782	8	321	321	205	28	6722	-2600	22	-18	743	-238	22	743	254264	2353238
-370 BPH	7003	8	317	317	219	30	6941	-2819	23	-20	766	-258	23	766	254287	2353218
	7068	8	316	316	283	39	7005	-2883	29	-26	772	-264	29	772	254293	2353212
	7186	8	324	324	117	16	7122	-3000	12	-10	784	-274	12	784	254305	2353202
	7392	8	339	339	321	44	7326	-3204	37	-23	809	-287	37	809	254330	2353189
	7633	9	342	342	238	35	7565	-3443	33	-12	842	-299	33	842	254363	2353177
-200 BPH	7735	9	226	344	101	16	7666	-3544	15	-5	857	-304	15	857	254378	2353172
	7924	9	12	348	287	46	7852	-3730	44	-12	886	-311	44	886	254407	2353165
	8174	12	9	351	246	46	8098	-3976	45	-8	931	-319	45	931	254452	2353157
	8199	12	8	351	24	5	8122	-4000	5	-1	936	-320	5	936	254457	2353156
	8552	15	0	346	368	87	8466	-4344	85	-17	1016	-337	85	1016	254537	2353139
	8785	15	0	344	570	138	8692	-4570	134	-30	1071	-350	134	1071	254592	2353126
TD	8820	15	0	344	34	9	8726	-4604	9	-2	1079	-353	9	1079	254600	2353123
TD	8820	15	0	344	0	0	8726	-4604	0	0	1079	-353	0	1079	254600	2353123
