Point,Northing,Easting,Elevation
1,249998,2353042,4192
2,249997,2353042,4000
3,249996,2353042,3891
4,249994,2353046,3704
5,249993,2353048,3533
6,249992,2353048,3439
7,249990,2353048,3332
8,249990,2353047,3302
9,249987,2353040,3111
10,249982,2353035,3000
11,249982,2353030,2901
12,249979,2353019,2764
13,249978,2353018,2742
14,249976,2353012,2679
15,249975,2353005,2617
16,249974,2352999,2554
17,249973,2352991,2491
18,249973,2352982,2429
19,249974,2352971,2366
20,249977,2352918,2117
21,249979,2352897,2024
22,249979,2352891,2000
23,249980,2352875,1933
24,249981,2352853,1839
25,249982,2352814,1665
26,249982,2352773,1528
27,249980,2352726,1375
28,249975,2352672,1201
29,249970,2352619,1017
30,249970,2352614,1000
31,249969,2352602,955
32,249967,2352588,903
33,249965,2352571,841
34,249963,2352555,779
35,249963,2352539,717
36,249963,2352523,656
37,249963,2352514,625
38,249966,2352498,564
39,249971,2352472,471
40,249976,2352440,347
41,249981,2352410,223
42,249983,2352394,152
43,249984,2352382,93
44,249987,2352370,38
45,249988,2352362,0
46,249986,2352357,-27
47,249986,2352343,-90
48,249984,2352329,-151
49,249962,2352315,-215
50,249979,2352302,-277
51,249978,2352294,-308
52,249976,2352280,-374
53,249974,2352267,-433
54,249973,2352259,-464
55,249973,2352251,-495
56,249973,2352243,-526
57,249974,2352233,-565
58,249975,2352224,-599
59,249976,2352216,-629
60,249978,2352208,-660
61,249987,2352174,-785
62,249995,2352148,-877
63,250007,2352115,-1000
64,250007,2352113,-1007
65,250009,2352108,-1029
66,250020,2352076,-1152
67,250031,2352047,-1275
68,250037,2352026,-1366
69,250046,2351997,-1499
70,250048,2351989,-1536
71,250053,2351973,-1627
72,250059,2351956,-1724
73,250061,2351952,-1748
74,250071,2351925,-1901
75,250079,2351906,-2000
76,250084,2351894,-2056
77,250107,2351852,-2261
78,250128,2351814,-2457
79,250141,2351762,-2614
80,250162,2351727,-2891
81,250173,2351706,-3000
82,250194,2351664,-3193
83,250221,2351601,-3466
85,250243,2351536,-3636
86,250253,2351504,-4000
87,250255,2351499,-4025
88,250268,2351465,-4217
89,250285,2351422,-4460
90,250300,2351372,-4744
91,250310,2351328,-5000
92,250314,2351308,-5118
93,250316,2351302,-5157
