-140.35739400, 35.36949103, 718968.945600
-140.35739400, 35.36949103, 718968.945600
-140.35739474, 35.36949371, 718969.250400
-140.35739221, 35.36949699, 718969.555200
-140.35738968, 35.36950028, 718969.860000
-140.35739042, 35.36950296, 718970.164800
-140.35738789, 35.36950624, 718970.469600
-140.35738536, 35.36950953, 718970.774400
-140.35738209, 35.36951013, 718970.774400
-140.35737956, 35.36951342, 718971.079200
-140.35737956, 35.36951342, 718971.079200
-140.35737956, 35.36951342, 718971.079200
-140.35737956, 35.36951342, 718971.079200
-140.35738030, 35.36951610, 718971.384000
-140.35738357, 35.36951549, 718971.384000
-140.35739011, 35.36951428, 718971.384000
-140.35739011, 35.36951428, 718971.384000
-140.35739665, 35.36951307, 718971.384000
-140.35740393, 35.36951454, 718971.688800
-140.35740720, 35.36951393, 718971.688800
-140.35741301, 35.36951004, 718971.384000
-140.35741628, 35.36950943, 718971.384000
-140.35741628, 35.36950943, 718971.384000
-140.35741955, 35.36950883, 718971.384000
-140.35741955, 35.36950883, 718971.384000
-140.35741955, 35.36950883, 718971.384000
-140.35741955, 35.36950883, 718971.384000
-140.35741448, 35.36951540, 718971.993600
-140.35741522, 35.36951808, 718972.298400
-140.35741269, 35.36952136, 718972.603200
-140.35741016, 35.36952465, 718972.908000
-140.35740510, 35.36953122, 718973.517600
-140.35740257, 35.36953450, 718973.822400
-140.35739751, 35.36954107, 718974.432000
-140.35737905, 35.36956139, 718976.260800
-140.35737652, 35.36956467, 718976.565600
-140.35735553, 35.36958827, 718978.699200
-140.35733380, 35.36960919, 718980.528000
-140.35730089, 35.36965190, 718984.490400
-140.35727885, 35.36968414, 718987.538400
-140.35726946, 35.36969996, 718989.062400
-140.35725069, 35.36973160, 718992.110400
-140.35722865, 35.36976384, 718995.158400
-140.35721673, 35.36978295, 718996.987200
-140.35720735, 35.36979876, 718998.511200
-140.35718278, 35.36983429, 719001.864000
-140.35718278, 35.36983429, 719001.864000
-140.35715061, 35.36987968, 719006.131200
-140.35711591, 35.36992834, 719010.703200
-140.35706423, 35.37000269, 719017.713600
-140.35701867, 35.37006181, 719023.200000
-140.35700601, 35.37007824, 719024.724000
-140.35698397, 35.37011048, 719027.772000
-140.35694347, 35.37016304, 719032.648800
-140.35690371, 35.37021828, 719037.830400
-140.35686395, 35.37027352, 719043.012000
-140.35681765, 35.37032997, 719048.193600
-140.35678548, 35.37037535, 719052.460800
-140.35677282, 35.37039177, 719053.984800
-140.35672399, 35.37045151, 719059.471200
-140.35672146, 35.37045479, 719059.776000
-140.35667442, 35.37050856, 719064.652800
-140.35665089, 35.37053545, 719067.091200
-140.35660058, 35.37058982, 719071.968000
-140.35655786, 35.37063435, 719075.930400
-140.35648835, 35.37070636, 719082.331200
-140.35648002, 35.37071353, 719082.940800
-140.35641483, 35.37077630, 719088.427200
-140.35636630, 35.37082471, 719092.694400
-140.35629784, 35.37088808, 719098.180800
-140.35627685, 35.37091168, 719100.314400
-140.35625660, 35.37093796, 719102.752800
-140.35612170, 35.37110938, 719118.602400
-140.35609892, 35.37113894, 719121.345600
-140.35606422, 35.37118761, 719125.917600
-140.35605916, 35.37119418, 719126.527200
-140.35599840, 35.37127302, 719133.842400
-140.35599260, 35.37127691, 719134.147200
-140.35590907, 35.37138531, 719144.205600
-140.35582078, 35.37148896, 719153.654400
-140.35577954, 35.37153884, 719158.226400
-140.35572997, 35.37159589, 719163.408000
-140.35563841, 35.37170015, 719172.856800
-140.35554432, 35.37180769, 719182.610400
-140.35548715, 35.37187460, 719188.706400
-140.35546437, 35.37190416, 719191.449600
-140.35541732, 35.37195793, 719196.326400
-140.35536849, 35.37201766, 719201.812800
-140.35528526, 35.37211474, 719210.652000
-140.35522155, 35.37218286, 719216.748000
-140.35517883, 35.37222738, 719220.710400
-140.35506184, 35.37233916, 719230.464000
-140.35504085, 35.37236276, 719232.597600
-140.35494992, 35.37244437, 719239.608000
-140.35484306, 35.37254301, 719248.142400
-140.35474379, 35.37263180, 719255.762400
-140.35463619, 35.37272776, 719263.992000
-140.35461446, 35.37274868, 719265.820800
-140.35453186, 35.37282311, 719272.221600
-140.35441518, 35.37292357, 719280.756000
-140.35431370, 35.37300432, 719287.461600
-140.35431117, 35.37300760, 719287.766400
-140.35420388, 35.37309224, 719294.776800
-140.35418067, 35.37310780, 719295.996000
-140.35409912, 35.37317359, 719301.482400
-140.35401177, 35.37324327, 719307.273600
-140.35394003, 35.37330725, 719312.760000
-140.35391577, 35.37333145, 719314.893600
