		WELL DATA SUMMARY														
		 														
	Well	38C-9 Proposed														
	 	 	 	 												
	Sec Azim	260.0	 													
	Elev	3856.0	KB													
 	Coords:	North	256195	EAST			2362121									
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________
 				 												
	4312	8.2	0	318	171	24	4297	-441	18.5	-15.9	73.9	-26.1	12.4	12.8	256269	2362095
	4408	7.8	0	302	95	13	4393	-537	8.5	-10.3	82.4	-36.4	8.7	21.5	256277	2362085
	4503	9.4	0	286	94	14	4486	-630	5.7	-13.0	88.2	-49.3	11.8	33.3	256283	2362072
	4598	10.6	0	276	94	16	4580	-724	3.2	-16.2	91.4	-65.5	15.4	48.7	256286	2362055
	4692	11.4	0	279	92	18	4672	-816	2.3	-17.8	93.7	-83.3	17.1	65.8	256289	2362038
	4786	12.2	0	280	92	19	4764	-908	3.1	-19.0	96.9	-102.3	18.1	83.9	256292	2362019
	4880	13.5	0	279	92	21	4856	-1000	3.4	-20.6	100.3	-122.9	19.7	103.6	256295	2361998
	4993	14.0	79	281	110	27	4966	-1110	4.6	-26.5	104.9	-149.4	25.3	128.9	256300	2361972
-80bph	5063	14.7	21	283	68	17	5033	-1177	3.6	-17.0	108.5	-166.4	16.1	145.0	256304	2361955
	5088	15.0	0	284	92	24	5058	-1202	5.1	-23.2	110.0	-172.6	22.0	150.9	256305	2361948
	5214	14.8	0	283	122	32	5179	-1323	7.6	-31.5	117.6	-204.0	29.7	180.5	256313	2361917
	5340	15.8	0	284	122	33	5301	-1445	7.7	-32.2	125.3	-236.3	30.4	210.9	256320	2361885
	5498	16.0	0	279	152	43	5453	-1597	8.6	-42.4	133.9	-278.6	40.2	251.1	256329	2361842
	5626	16.5	0	278	123	36	5576	-1720	5.3	-35.4	139.2	-314.0	34.0	285.1	256334	2361807
	5753	16.8	0	278	122	36	5698	-1842	5.1	-36.0	144.3	-350.0	34.6	319.7	256339	2361771
	5848	14.8	0	280	91	26	5789	-1933	4.0	-25.5	148.3	-375.5	24.4	344.0	256343	2361746
	5917	14.4	0	282	67	17	5856	-2000	3.3	-17.0	151.7	-392.5	16.2	360.2	256347	2361728
	5940	14.3	0	283	89	23	5878	-2022	4.6	-22.6	152.9	-398.1	21.4	365.5	256348	2361723
	6098	14.3	0	283	153	39	6031	-2175	8.7	-37.9	161.6	-436.0	35.8	401.3	256357	2361685
	6251	13.8	0	284	148	37	6180	-2324	8.6	-36.0	170.3	-472.0	33.9	435.2	256365	2361649
