		WELL DATA SUMMARY									

	Well Navy I 61B-7ST										
	Sec Az 245 		S 65W								
	Elev 4145 KB										
	Coords North 259542  East 2353976										

	MD	Drift	Drift D.	Azim	TVD	SSD	N-S	E-W	Sec	N-LAM	E-LAM
	7155	21.25	59	239	7056	-2911	-354	-815	888	259188	2353161
	7250	21.63	60	240	7145	-3000	-372	-844	923	259170	2353132
	7281	21.75	60	240	7174	-3029	-378	-854	934	259164	2353122
	7437	22.25	60	240	7318	-3173	-407	-905	992	259135	2353071
	7567	22.25	61	241	7439	-3294	-431	-948	1041	259111	2353028
	7692	21.25	59	239	7555	-3410	-454	-988	1087	259088	2352988
	7815	19.50	59	239	7670	-3525	-477	-1025	1130	259065	2352951
-265 BPH	7935	18.55	58	238	7783	-3638	-497	-1058	1169	259045	2352918
	8004	18.00	57	237	7849	-3704	-509	-1076	1190	259033	2352900
T.D.	8191	18.00	57	237	8027	-3882	-540	-1125	1248	259002	2352851
