Name,Northing,Easting,Elevation,Temp
1,251908,2355590,4052,0
2,251908,2355590,4000,0
3,251908,2355591,3924,0
4,251907,2355593,3734,0
5,251907,2355596,3582,0
6,251906,2355596,3552,0
7,251906,2355599,3407,0
8,251904,2355605,3220,0
9,251903,2355611,3052,0
10,251902,2355613,3001,0
11,251902,2355613,3000,0
12,251906,2355614,2896,0
13,251910,2355605,2642,0
14,251911,2355602,2553,0
15,251914,2355599,2444,0
16,251919,2355596,2256,0
17,251924,2355592,2083,0
18,251925,2355591,2053,0
19,251926,2355589,2003,0
20,251926,2355589,2000,0
21,251927,2355587,1952,0
22,251928,2355583,1894,0
23,251922,2355562,1730,0
24,251915,2355544,1639,0
25,251907,2355526,1559,0
26,251906,2355524,1547,0
27,251895,2355501,1458,0
28,251883,2355476,1370,0
29,251870,2355447,1284,0
30,251864,2355432,1240,0
31,251861,2355426,1225,0
32,251835,2355378,1087,0
33,251828,2355365,1050,0
34,251818,2355347,1000,0
35,251810,2355333,960,0
36,251792,2355302,874,0
37,251774,2355270,786,0
38,251756,2355240,699,0
39,251741,2355214,624,0
40,251729,2355196,569,0
41,251720,2355181,526,0
42,251701,2355153,439,0
43,251682,2355127,354,0
44,251663,2355100,266,0
45,251645,2355075,180,0
46,251640,2355068,157,0
47,251626,2355049,92,0
48,251607,2355023,4,0
49,251606,2355022,0,0
50,251581,2354990,-114,0
51,251558,2354961,-218,0
52,251551,2354952,-248,0
53,251545,2354943,-278,0
54,251538,2354931,-313,0
55,251524,2354908,-379,0
56,251513,2354886,-437,0
57,251506,2354873,-469,0
58,251493,2354851,-521,0
59,251469,2354807,-622,0
60,251449,2354768,-706,0
61,251436,2354740,-763,0
62,251422,2354715,-815,0
63,251393,2354662,-923,0
64,251370,2354622,-1000,0
65,251367,2354618,-1009,0
66,251341,2354572,-1097,0
67,251312,2354522,-1195,0
68,251305,2354511,-1216,0
69,251280,2354469,-1296,0
70,251256,2354429,-1375,0
71,251215,2354361,-1506,0
72,251206,2354346,-1534,0
73,251180,2354304,-1613,0
74,251177,2354299,-1622,0
75,251113,2354201,-1815,0
76,251068,2354136,-1959,0
77,251057,2354120,-2000,0
78,251044,2354104,-2043,0
79,251040,2354099,-2059,0
80,251028,2354085,-2100,0
81,251012,2354065,-2158,0
82,250996,2354047,-2216,0
83,250982,2354029,-2273,0
84,250967,2354011,-2332,0
85,250956,2353997,-2375,0
