Point,NORTHING,EASTING,Elev_ft,Elev_m
1,256797,2355439,4389,1338
2,256798,2355438,4195,1279
3,256798,2355438,4139,1262
4,256799,2355436,4050,1234
5,256799,2355435,4000,1219
6,256799,2355435,3962,1208
7,256798,2355433,3889,1185
8,256798,2355433,3878,1182
9,256796,2355431,3788,1155
10,256795,2355429,3726,1136
11,256794,2355426,3663,1116
12,256791,2355422,3601,1098
13,256786,2355418,3539,1079
14,256783,2355415,3508,1069
15,256780,2355412,3477,1060
16,256777,2355408,3446,1050
17,256773,2355405,3415,1041
18,256770,2355401,3392,1034
19,256766,2355395,3351,1021
20,256763,2355390,3323,1013
21,256763,2355390,3321,1012
22,256759,2355384,3291,1003
23,256756,2355376,3260,994
24,256749,2355366,3219,981
25,256732,2355344,3130,954
26,256708,2355313,3011,918
27,256705,2355310,3000,914
28,256702,2355306,2984,910
29,256686,2355285,2913,888
30,256686,2355285,2910,887
31,256667,2355258,2824,861
32,256610,2355170,2597,792
33,256591,2355143,2536,773
34,256567,2355109,2461,750
35,256560,2355098,2438,743
36,256559,2355097,2434,742
37,256517,2355034,2300,701
38,256453,2354928,2087,636
39,256434,2354898,2028,618
40,256425,2354884,2000,610
41,256403,2354851,1932,589
42,256390,2354833,1894,577
